"year","race_ethnicity","opioid_rate","drug_rate","nonopioid_rate","opium_rate","heroin_rate","natural_rate","methadone_rate","synth_rate","other_op_rate","unspec_op_rate","nonh_nonm_rate","opioid_var","drug_var","nonopioid_var","opium_var","heroin_var","natural_var","methadone_var","synth_var","other_op_var","unspec_op_var","nonh_nonm_var"
1999,"nhb",3.46773604799168,7.49693097376703,4.02919492577535,0,0.827796117556193,0.62670031489915,0.209258272846693,0.113803692347553,2.00341607165172,0,2.69168727770572,0.0108033572110899,0.0236801622638076,0.0128768050527177,0,0.00260886673301791,0.00198454003057069,0.000642967087339515,0.000358350499856249,0.00620530652804663,0,0.00838206342937751
2000,"nhb",3.43932357106186,7.27431921008543,3.83499563902356,0,0.892092124621654,0.604189043419173,0.190056450715257,0.122414786694227,1.92333429228389,0,2.60422777898538,0.0104848836752331,0.0225458080969092,0.0120609244216762,0,0.00273356369345293,0.00185671423480753,0.000569945370002994,0.000379580681389324,0.00585820173528923,0,0.00795379251449214
2001,"nhb",3.33785599394429,7.54581292462635,4.20795693068205,0,0.768892272551896,0.651008812830077,0.301854691561422,0.149344459659385,1.72552975605828,0,2.49366117739373,0.0100078039731577,0.0229475590063923,0.0129397550332346,0,0.00231838643525995,0.00196814977992209,0.000899548397166668,0.000453172964114775,0.00516872909210162,0,0.00749530912958325
2002,"nhb",3.6014494419717,8.17442170681453,4.57297226484282,0,0.918220011459026,0.788033715810895,0.409280773975698,0.181181214378743,1.67134763386876,0,2.5720900532655,0.0106184194199039,0.0243007009820366,0.0136822815621327,0,0.00272624296357133,0.00234895190598221,0.00119276238487597,0.000535684956330718,0.00492282100265326,0,0.00760185129563228
2003,"nhb",3.47647358001461,8.19139115803999,4.71491757802538,0.00263192906486249,0.784339901151339,0.748429489102949,0.424563042945019,0.144380244436973,1.62264720057822,0,2.47375148462846,0.0100877531506654,0.0240557341548873,0.0139679810042219,6.92705060246796e-06,0.0022726029531764,0.00218017629465684,0.00122084946803281,0.000412497850178073,0.00472221815731064,0,0.00719832632353835
2004,"nhb",3.15559804864267,8.26182657164362,5.10622852300095,0,0.627584771091012,0.861323638134191,0.601760199045506,0.172899448320434,1.21637974966508,0,2.15677668071256,0.0089926144311183,0.0238517414715774,0.0148591270404591,0,0.00179292774906671,0.00244258475034123,0.00168892407655931,0.000484128667534389,0.00350418883280268,0,0.00617111846648953
2005,"nhb",3.40502016854532,9.28342039661649,5.87840022807117,0,0.788995633426361,0.947700043055982,0.711162652628473,0.236762346171832,1.12672046618703,0,2.23140621303409,0.00956176933962614,0.026250482642556,0.0166887133029298,0,0.00222834809521268,0.00267328737172375,0.00198631356514894,0.000663583457661887,0.00316909579481972,0,0.00628534385669497
2006,"nhb",4.20575322294949,10.7644221019408,6.55866887899133,0,0.742790614555322,1.05509345565905,0.857891649546684,0.978157759661011,1.22908826332313,0,3.02787831517645,0.011642500935619,0.0300291856500943,0.0183866847144753,0,0.00204689675417317,0.00290383717355207,0.00236508289168822,0.00271921228270665,0.00342174407837018,0,0.00839442639067155
2007,"nhb",3.53403850657958,9.63742432573836,6.10338581915878,0,0.766669008435977,1.08717756656766,0.826567871330729,0.248888854682381,0.979094809731561,0,2.22565568194371,0.00958910801712725,0.0264081504712338,0.0168190424541065,0,0.00209454135186136,0.00292388755908905,0.00221555356708819,0.000690676907602193,0.0026674551500921,0,0.00603592145270299
2008,"nhb",3.39287737700992,8.34532594685119,4.95244856984126,0,0.772359206019456,1.24232419100915,0.642192116569501,0.234571300450925,0.894371910479619,0,2.25865622263144,0.00906167437605478,0.022559287040801,0.0134976126647463,0,0.00203942117192109,0.00332291404265908,0.00170668283388422,0.000640731708563882,0.00242199470861228,0,0.0060590452297309
2009,"nhb",3.57618180554814,8.22810062429604,4.6519188187479,0,0.89392894160292,1.33262345632451,0.677396623958297,0.338511335251125,0.79429075702147,0,2.31976417999009,0.00944472368785378,0.0218889010238406,0.0124441773359868,0,0.00234008831148805,0.00355739722145293,0.00175520972522498,0.000884002300911578,0.0021341954866204,0,0.00618790225174863
2010,"nhb",3.38605204559622,7.96990450271891,4.58385245712269,0.00230169288312679,0.756698299664031,1.43717225272608,0.633361469393155,0.361148429230313,0.619581831814968,0,2.27644147489726,0.00874496235700659,0.020837323545694,0.0120923611886874,5.29779012823653e-06,0.00194878235765676,0.00370013233866721,0.00160938831336675,0.000938101714901563,0.00163982535736903,0,0.00590851817993971
2011,"nhb",3.7257767817827,8.52467277997278,4.79889599819009,0,0.967195947780895,1.47408129111513,0.690074133757076,0.328976822600346,0.778093754241896,0,2.44063133784128,0.00956277204092995,0.0220874943441574,0.0125247223032275,0,0.00247051754029653,0.00378215793470251,0.00175116086093942,0.000843061731768108,0.00201493237818812,0,0.00629112529918114
2012,"nhb",4.00057926216945,8.66610719912607,4.66552793695662,0,1.29900413651266,1.556060808418,0.582890329886302,0.303014450005718,0.773870219175805,0,2.47904644101315,0.0101678577307007,0.0222210424107447,0.012053184680044,0,0.00330266409902946,0.00397223220120191,0.00146009561315439,0.000763191641828662,0.0019538264496233,0,0.00630331198012809
2013,"nhb",4.66559010383213,9.57586329101632,4.91027318718419,0,2.01192936532405,1.67502638087341,0.578202621674178,0.488360322194055,0.614302738294611,0,2.55837720613221,0.011668782808901,0.0241387144932278,0.0124699316843268,0,0.00499715262154423,0.00421871673534701,0.00144327971803464,0.0012199901065854,0.00152380785103548,0,0.00643239649198871
2014,"nhb",5.55001177963557,10.4554384639926,4.90542668435702,0,2.50324991388694,1.95566453037843,0.61207257539851,1.09883716315493,0.590749773148651,0,3.27643538402918,0.0138777303008529,0.0262222002594723,0.0123444699586194,0,0.00621386478390204,0.00486512997566939,0.00151122936846891,0.00278535308330529,0.00147540435163485,0,0.00823295016320199
2015,"nhb",6.55279056809604,12.1147152510744,5.56192468297834,0,3.10452231773601,2.13274504899185,0.575128549364531,2.09983317427185,0.581036621620441,0,4.17509030624105,0.016272793785156,0.0301149779473862,0.0138421841622302,0,0.00764562423804918,0.0053875902017507,0.00139028493534759,0.00518866613774992,0.00145867903631651,0,0.0104238912631795
2016,"nhb",10.247774388359,16.9849748073534,6.73720041899443,0,4.44764549165581,2.72740846231975,0.682666979263137,5.59792263943199,0.768498083158715,0,7.8448934829604,0.0250058399410799,0.0416390715322344,0.0166332315911546,0,0.0108495960995179,0.00666840780588702,0.0016139864808398,0.0136295589873889,0.00187385813277074,0,0.0191406591973322
2017,"nhb",12.8040778424165,20.5096579821349,7.70558013971843,0,4.90701061449956,2.90882075583945,0.74224742720524,8.90194413309611,0.66814849415849,0,10.9228149731615,0.0310279199907774,0.0497611793674117,0.0187332593766342,0,0.0117475126759186,0.00707672638592968,0.00174012824596836,0.021574269180553,0.00160677466200256,0,0.0265161403792582
2018,"nhb",13.9431931978794,21.0385944383943,7.09540124051486,0,4.86863885644146,2.71111208141893,0.736685311806116,10.9821362494157,0.51976237332169,0,12.5539845504852,0.0334011062873208,0.0504337672219946,0.0170326609346738,0,0.0115714225010083,0.00649977051629959,0.0016904984660196,0.0263825936864462,0.00122748092238739,0,0.0301185882055828
1999,"nhw",2.84883044904924,6.12221599844413,3.27338554939489,0.00210137685023982,0.658983704249183,1.03320187244471,0.316052594975991,0.310394034185506,0.891882675348699,0,2.14104706376804,0.00143568486728645,0.00306007482133909,0.00162438995405264,1.10663982504567e-06,0.000334645354069929,0.000517404550957387,0.000159354718982533,0.000153870520834757,0.000452535417267044,0,0.00107675313081491
2000,"nhw",3.11808056656168,6.54874901135318,3.43066844479149,0.00101579226484774,0.620480936796835,1.18477122471804,0.417795916401764,0.345616358448326,0.912706228821277,0,2.32252822262923,0.00157348409876158,0.00327892057566028,0.0017054364768987,5.21151857281436e-07,0.00031721075768829,0.000593655055624313,0.000210771791735638,0.000170649368768842,0.000463655076928908,0,0.00116789300190822
2001,"nhw",3.66266057267839,7.43562941782451,3.77296884514612,0.00147844771254769,0.616326486585292,1.45612021996707,0.622621832491429,0.421664860386357,0.950261666318704,0,2.67874513075912,0.00184953779472138,0.0037276362149487,0.00187809842022732,7.34247110505069e-07,0.000315367252490953,0.000731371414834865,0.000314688693087379,0.000209314441831186,0.000483326670136141,0,0.0013489965258091
2002,"nhw",4.71082949282599,9.15433996861979,4.44351047579379,0.00151035715116337,0.713952935205117,1.82651205200352,1.04288793280502,0.569441986758579,1.08961258268649,0,3.29260341325035,0.00238927064725217,0.00460393271659183,0.00221466206933966,7.74928363393121e-07,0.000367763184024057,0.000917051768160342,0.000532952113773809,0.000283803963555376,0.000556872878280283,0,0.00166033269484149
2003,"nhw",5.20254382406113,10.1474952876209,4.9449514635598,0.000961221675167157,0.726388455008067,2.04913113093552,1.33329386787657,0.63420068425865,1.06287214683026,0,3.53459968932671,0.00265084978191823,0.00512834377095996,0.00247749398904173,4.63416607380438e-07,0.000375315051165161,0.00103179913564673,0.000685649735685562,0.000319973257238294,0.000545265686139531,0,0.00178984010027355
2004,"nhw",5.69587976982716,10.9712157594589,5.27533598963175,0.000512717348377266,0.686765641776167,2.20875795752902,1.72398632921479,0.74358741352795,1.00378155886525,0,3.72945081134523,0.00291145169956906,0.00556519369642683,0.00265374199685777,2.62879079327015e-07,0.000357760034660444,0.00111168915804565,0.000892967863968266,0.000374820214000902,0.000517469637566092,0,0.00189050467254133
2005,"nhw",6.13002525407909,11.720450621537,5.59042536745789,0.000520302944405586,0.705224867331036,2.4307508971216,1.98051168541488,0.765495237616992,1.03681402753123,0,3.96987198023953,0.00314076849348019,0.00595870227898761,0.00281793378550742,2.70715153957122e-07,0.000368514515518755,0.00122739697624331,0.00102647690492539,0.000386194935382381,0.000534015405529768,0,0.00201528894569847
2006,"nhw",7.22590021662717,13.545494783011,6.31959456638385,0.000521124425761145,0.748705721011372,2.9641094879824,2.42365403740916,1.083982454511,1.06191011561121,0,4.76137399536056,0.00372410466748861,0.00692307079983845,0.00319896613234984,2.71570667124883e-07,0.000393440886376701,0.00150438637131651,0.00126637728004902,0.000555791227351574,0.000551168897209686,0,0.00243403776126868
2007,"nhw",7.78820694415602,14.4957702005291,6.70756325637304,0.00171996228227522,0.885612163549476,3.47635825739623,2.47002265628102,0.994199555543679,1.0111368973457,0,5.11570468028096,0.0040341434358852,0.00743677422962392,0.00340263079373872,9.88218388575376e-07,0.000467663650575284,0.00177953943842747,0.00129462509580616,0.000509337792030448,0.000529373130248328,0,0.00263097180073885
2008,"nhw",8.24242604715275,14.8380703313367,6.59564428418394,0,1.17635932708916,3.88437888156408,2.18940393095438,1.02388384737283,1.12395049348681,0,5.61586632408656,0.00429077336597308,0.00764398388170016,0.00335321051572708,0,0.000633265421196457,0.00199672155259646,0.0011508997929958,0.000524498924184468,0.000588700226877206,0,0.00289669870313738
2009,"nhw",8.56419189029245,14.9857279096481,6.42153601935564,0.000360896373735695,1.26338634023342,4.12868256057162,2.06684679722153,1.2693441060792,1.01735417981622,0,5.97678001484387,0.00447696434107979,0.00775784476408983,0.00328088042301004,1.30246192575574e-07,0.000680383101831019,0.00213172219806188,0.00109294644674113,0.000652051495532898,0.000533569540176929,0,0.00309366276409276
2010,"nhw",9.05143772539592,15.723732785613,6.67229506021712,0.000522233801441247,1.21480247984352,4.77156721938104,2.01182078772675,1.33971450951392,0.95181970406829,0,6.57887888030925,0.00478821559024947,0.00821067608611757,0.0034224604958681,2.72728143367776e-07,0.000665399110108122,0.00250330622867026,0.00107190187433666,0.000699543781036621,0.000507786772333697,0,0.00345818327590441
2011,"nhw",9.69986180958008,16.8882051950386,7.18834338545853,0,1.80701833649177,5.05416033902987,1.93264435443797,1.15960382103733,1.11417169844035,0,6.84852118969775,0.00517312077645464,0.00888551446894548,0.00371239369249084,0,0.000991660431233303,0.00266266107034853,0.00104121835163537,0.000607216252460573,0.000600925914057208,0,0.00362105471748762
2012,"nhw",9.74967738833409,16.8061209162323,7.05644352789824,0.000907469358030615,2.46590160965304,4.70925024179933,1.70055191886136,1.14796535308836,1.0922563075843,0,6.50005563089937,0.00522164456799594,0.00887613912279893,0.003654494554803,4.18506901035702e-07,0.00136179082775425,0.00248205137451007,0.000918907508852823,0.000605121570618424,0.000586432062901227,0,0.00344043051144639
2013,"nhw",10.422419051718,17.6269450606221,7.20452600890409,0.00147143474921193,3.42024900659913,4.7266366648993,1.52813416918454,1.31571719997923,1.10710475434711,0,6.6109426231285,0.00559307482524266,0.00932566397889613,0.00373258915365347,7.24736241058031e-07,0.00189741716523913,0.00247918718644318,0.00082585066729356,0.00069256545235469,0.000601054068824127,0,0.00349206381747518
2014,"nhw",11.9918733068692,18.9262644837634,6.93439117689416,0,4.41989694395415,5.03267435093065,1.44319102900311,2.41772413049071,1.02884040542536,0,7.6706197866133,0.00648577081393324,0.0101069694664481,0.0036211986525149,0,0.00246318572992446,0.00265134166571695,0.000781983539681453,0.0013198835535235,0.000555846800018616,0,0.0040916800277032
2015,"nhw",13.9140998020029,21.0512152065216,7.1371154045187,0.000682945445841955,5.41106207381827,5.28810086370154,1.37302936688345,4.23347599941351,1.13989906900196,0,9.43661207269928,0.00761313370605079,0.0113795563052654,0.00376642259921462,4.66414481996266e-07,0.00303920110492332,0.00281024982885315,0.000743902131571227,0.00235950460531252,0.000623166030989931,0,0.0051206599688766
2016,"nhw",17.4169488984319,25.2484969627965,7.83154806436457,0.00162816910588415,6.27815994404567,5.97594649866962,1.37062470260184,8.15427731588885,1.07642557381556,0,13.2905985865389,0.00963687466577718,0.0137983127445687,0.00416143807879153,8.86751903530316e-07,0.00354106471585897,0.00320399275790302,0.000750056443151993,0.00460713197779411,0.000591872594893791,0,0.00733212075576599
2017,"nhw",19.4114560952986,27.4857483595909,8.07429226429222,0.00347601208364157,6.08795615827858,5.88933502814325,1.25946711784856,11.8354309470792,0.952099090818271,0,16.2763361036697,0.0107883774759278,0.0151149899180654,0.00432661244213763,1.85411306580745e-06,0.00344079884935235,0.00316018960406678,0.000690195933997226,0.00669914339250093,0.000521868087128875,0,0.0090432436675482
2018,"nhw",18.5881514502738,25.6733188889376,7.08516743866384,0.00130495527460452,5.81148584356628,5.02092392748151,1.17874707688478,12.5750588451409,0.723633149407998,0,16.0898225606176,0.010386400966213,0.0141628567836645,0.00377645581745149,6.92147148559049e-07,0.00329650941367601,0.00269405247033112,0.000647613710203649,0.00715207231046622,0.000400380945616986,0,0.00899444254449873
1999,"other",0.696145892384522,1.95426309581028,1.25811720342576,0,0.127049645751874,0.266002291359225,0.0561525595235681,0.13075859335392,0.238001496976044,0,0.587624287494268,0.00491446965549255,0.0149418023027087,0.0100273326472161,0,0.000782884068008544,0.00192308738761537,0.00039654384483704,0.000993427263023051,0.00162197091533916,0,0.00420816986813333
2000,"other",0.684279218013211,1.76402492792641,1.0797457099132,0,0.148233981315243,0.299819316174443,0.0786702144922309,0.0547311563530439,0.187849079741305,0,0.531278710626097,0.00442022977041891,0.0119219754200836,0.00750174564966465,0,0.00097669207062668,0.00195101798922404,0.000520112919737746,0.000341347510823947,0.00119713731909065,0,0.00342642932756069
2001,"other",0.717628384214646,1.95460071760178,1.23697233338714,0,0.097727177293686,0.34432777040483,0.102685891205736,0.0734103179710886,0.191847128204802,0,0.563945891838304,0.00458368553636165,0.0131541069075234,0.00857042137116172,0,0.0005709371849957,0.00227841302867507,0.000631854530065135,0.000506444531298379,0.00118290279342337,0,0.00365813694685665
2002,"other",1.02825051805811,2.43226861673339,1.40401809867528,0,0.135168019312356,0.475200689923033,0.197441002723931,0.100335330343439,0.260946717012979,0,0.790995739677434,0.00665557353261488,0.016035970370635,0.00938039683802012,0,0.000811879990166846,0.00320030799102588,0.00116822714875917,0.000603863055624517,0.00175353452140495,0,0.00525318234550265
2003,"other",1.02559210211058,2.66315148601133,1.63755938390075,0.00815326571976733,0.151317106613594,0.410243589578224,0.230281086741401,0.102105706915753,0.259338597198139,0,0.729869534701377,0.00598268908857877,0.0160899610892017,0.0101072720006229,6.6475741897133e-05,0.000890920249170357,0.0024442634642492,0.00134129630850844,0.000561335611346947,0.00154379750129729,0,0.00429747447551752
2004,"other",1.24353950578663,3.01681500270738,1.77327549692075,0,0.158385976783644,0.500189538714098,0.326955619857576,0.193460171962546,0.242024694881978,0,0.873358836782202,0.00712209002664512,0.0181351731838541,0.011013083157209,0,0.00087919545025753,0.00291622745170952,0.00178400785377245,0.00118443550475755,0.0013563350282499,0,0.00510092429114739
2005,"other",1.43091356894961,3.15044410586655,1.71953053691694,0,0.159591012846568,0.598336136841178,0.399188704547658,0.2202948006077,0.239415386346959,0,1.01129469539562,0.00801331009770349,0.0182642134420792,0.0102509033443757,0,0.000835214974998129,0.00351797261426845,0.00213322314284499,0.00125800888442948,0.00127253115206684,0,0.00577256955929034
2006,"other",1.42265817396092,3.44110837015724,2.01845019619631,0,0.12909314120946,0.650325258275338,0.446799262317534,0.190631718208776,0.194328437124577,0,0.993211334712214,0.00758508039816856,0.0190768137780604,0.0114917333798918,0,0.000648161720971183,0.00348163270879741,0.00234314818807624,0.00105004738402566,0.00101171195451765,0,0.00534303215174766
2007,"other",1.44342226211577,3.36946878494726,1.92604652283149,0,0.183823099201183,0.629193522493289,0.40789229685827,0.158356224027011,0.238788070617935,0,1.00180919191688,0.00723500327628358,0.0177472453477211,0.0105122420714376,0,0.000902011907780854,0.0031376956678571,0.00204155075715239,0.000840923910597166,0.00123104103728358,0,0.00508797045213016
2008,"other",1.70162353399152,3.41375210884675,1.71212857485523,0,0.177700945140677,0.780987835936346,0.44078761331557,0.283679315559513,0.211777822335552,0,1.20621546961135,0.00828491486093088,0.0169475454399204,0.00866263057898948,0,0.00086250357540082,0.00387770859820831,0.00203279884999211,0.00143024456038447,0.000991961209166329,0,0.00595590613270049
2009,"other",1.95573686295778,3.81625075145889,1.86051388850111,0,0.234293455623097,0.947752865898718,0.473308721224477,0.379966454000478,0.265510105274457,0,1.45497192695682,0.00935124339323478,0.0187148290232012,0.00936358562996645,0,0.00108819291674697,0.00458979275537749,0.00220251840742396,0.0018531767948395,0.00130721478222529,0,0.0070647062696519
2010,"other",1.68025485618132,3.53228919798886,1.85203434180754,0,0.184007598851353,0.953085773024449,0.413171548576297,0.231231194648639,0.152105866303617,0,1.24079017445137,0.00766744833473818,0.0165501835279243,0.00888273519318608,0,0.000815551648648534,0.00438340138780964,0.00181385990795856,0.00108483552585654,0.000688290973487864,0,0.00573681429831035
2011,"other",1.88603384206116,4.04960612758531,2.16357228552416,0,0.345717066761165,0.947165312686347,0.407248478454083,0.259725135501281,0.236989240175938,0,1.32937226371552,0.00821396395610705,0.0182359876480845,0.0100220236919775,0,0.00143883991047388,0.00417943983708567,0.00173245183458062,0.00118613202873572,0.0010345261108223,0,0.00589043219712399
2012,"other",1.9844212227508,3.99826916756558,2.01384794481478,0,0.362086639441802,1.02835577262038,0.384135363551442,0.234776467793025,0.262986646442196,0,1.41491375147682,0.0085303702824782,0.0174238409765715,0.00889347069409329,0,0.00150980402598239,0.00453496880468045,0.00162440405158616,0.000978317552523208,0.00111779510389899,0,0.00614962506292924
2013,"other",1.8940846193328,4.00872522037351,2.1146406010407,0,0.534460832452475,0.951729346792766,0.311105721918531,0.242105604635208,0.170119013234268,0,1.28064658866708,0.00777955777381416,0.0169324735096532,0.00915291573583902,0,0.00214882090986072,0.00394421511294708,0.00129107385615515,0.000989622117068977,0.000699081028191664,0,0.00528217365200292
2014,"other",2.17764793225067,4.36636293039276,2.18871499814209,0,0.680643196230516,1.07212759083825,0.222889134523449,0.372804426720914,0.22234904364678,0,1.54067881413199,0.00876356839078249,0.0179027425027041,0.00913917411192159,0,0.00267420196837518,0.00436665462414774,0.000914809456026696,0.0014900543101253,0.000865696020972846,0,0.00623002241005694
2015,"other",2.25020217030229,4.6500964907655,2.39989432046321,0,0.879268825714245,0.980505962977744,0.244049517777551,0.426331992496889,0.269904586021287,0,1.51847368351637,0.00884176343587233,0.0185510863306645,0.00970932289479215,0,0.00327181167000286,0.00397920259229635,0.000981079900438298,0.00166860676991182,0.00106498102924542,0,0.00609214232677087
2016,"other",2.74234116811445,5.1812235957116,2.43888242759716,0,0.941061172913954,1.04725969901743,0.243027535378535,0.929175260444223,0.219812197268667,0,2.02162436384581,0.0103114821401483,0.0197951884052137,0.00948370626506546,0,0.00349894629551946,0.00402015046977719,0.000907114694540643,0.00340431846238883,0.000834814497407198,0,0.00762731474897218
