"year","age","age_cat","race","pop","pop_std","unit_w","opioid_rate","drug_rate","nonopioid_rate","opium_rate","heroin_rate","natural_rate","methadone_rate","synth_rate","other_op_rate","unspec_op_rate","nonh_nonm_rate","opioid_var","drug_var","nonopioid_var","opium_var","heroin_var","natural_var","methadone_var","synth_var","other_op_var","unspec_op_var","nonh_nonm_var"
2001,70,"70-74","total",8821946,8725574,0.0317716865874721,0.442079332609835,2.16505519303791,1.72297586042807,0,0.0113353675028163,0.260713452564774,0.0453414700112651,0.0793475725197139,0.0680122050168976,0,0.385402495095753,0.00501113170053223,0.0245416962769655,0.0195305645764333,0,0.000128490556423903,0.00295528279774977,0.000513962225695613,0.000899433894967322,0.000770943338543419,0,0.00436867891841271
2001,75,"75-79","total",7455413,7414559,0.0269979997570727,0.469457560567067,2.46800546126687,1.9985479006998,0,0.0402392194771772,0.268261463181181,0.0134130731590591,0.107304585272472,0.0670653657952953,0,0.42921834108989,0.00629686860495947,0.0331035378089298,0.0268066692039703,0,0.000539731594710812,0.00359821063140541,0.000179910531570271,0.00143928425256217,0.000899552657851353,0,0.00575713701024866
2001,80,"80-84","total",5138205,4900234,0.0178428031042169,0.369778940310867,2.45221823574575,2.08243929543488,0,0,0.116772296940274,0,0.155696395920365,0.0973102474502282,0,0.369778940310867,0.00719665603670674,0.0477251926644762,0.0405285366277695,0,0,0.00227262822211792,0,0.00303017096282389,0.00189385685176493,0,0.00719665603670674
2001,85,"85+","total",4312494,4259173,0.0155085624943211,0.533334075363351,3.68696165142491,3.15362757606156,0,0,0.278261256711314,0.0463768761185523,0.162319066414933,0.162319066414933,0,0.510145637304075,0.0123671841714644,0.0854948818809929,0.0731276977095285,0,0,0.00645244391554663,0.00107540731925777,0.0037639256174022,0.0037639256174022,0,0.0118294805118355
2001,0,"0-4","white",14688518,18986520,0.0691339919673788,0.0680803876878525,0.183817046757202,0.115736659069349,0,0,0.054464310150282,0.0136160775375705,0,0.00680803876878525,0,0.054464310150282,0.00046349391877283,0.00125143358068664,0.000787939661913811,0,0,0.000370795135018264,9.2698783754566e-05,0,4.6349391877283e-05,0,0.000370795135018264
2001,0,"0-4","black",2912889,18986520,0.0691339919673788,0.308971608598886,0.652273395930981,0.343301787332095,0,0,0.137320714932838,0.0686603574664191,0,0.102990536199629,0,0.240311251132467,0.010607050546687,0.0223926622652281,0.0117856117185411,0,0,0.00471424468741645,0.00235712234370822,0,0.00353568351556234,0,0.00824992820297879
2001,5,"5-9","white",15359485,19919840,0.0725324102864281,0.00651063495944037,0.0325531747972019,0.0260425398377615,0,0,0.00651063495944037,0,0,0,0,0.00651063495944037,4.23883675750871e-05,0.000211941837875436,0.000169553470300348,0,0,4.23883675750871e-05,0,0,0,0,4.23883675750871e-05
2001,5,"5-9","black",3216062,19919840,0.0725324102864281,0.0310939279155688,0.0621878558311376,0.0310939279155688,0,0,0.0310939279155688,0,0,0,0,0.0310939279155688,0.000966832353218588,0.00193366470643718,0.000966832353218588,0,0,0.000966832353218588,0,0,0,0,0.000966832353218588
2001,10,"10-14","white",16081263,20056779,0.0730310345591237,0.087057838678467,0.198989345550782,0.111931506872315,0,0.0124368340969239,0.0559657534361574,0,0,0.0186552511453858,0,0.0746210045815431,0.000541361948240427,0.00123739873883526,0.000696036790594835,0,7.73374211772039e-05,0.000348018395297418,0,0,0.000116006131765806,0,0.000464024527063223
2001,10,"10-14","black",3345466,20056779,0.0730310345591237,0.0597824040058993,0.089673606008849,0.0298912020029497,0,0,0.0298912020029497,0.0298912020029497,0,0,0,0.0298912020029497,0.00178696791436228,0.00268045187154343,0.000893483957181142,0,0,0.000893483957181142,0.000893483957181142,0,0,0,0.000893483957181142
2001,15,"15-19","white",15871761,19819518,0.0721671163651538,1.53732153602867,2.91083012149692,1.37350858546824,0,0.233118429643692,0.680453794635642,0.270921418234561,0.0882069733786944,0.434734368794994,0,1.14039015582455,0.0096858914144982,0.0183396796454843,0.0086537882309861,0,0.0014687622226903,0.00428719783920412,0.00170693988042386,0.000555747868044979,0.00273904306393597,0,0.0071850260082958
2001,15,"15-19","black",3069430,19819518,0.0721671163651538,0.358372727183875,0.879642148542237,0.521269421358363,0,0.0651586776697954,0.162896694174488,0.0977380165046931,0.0325793388348977,0.0651586776697954,0,0.260634710679181,0.0116755465081098,0.028658159610815,0.0169826131027052,0,0.00212282663783815,0.00530706659459536,0.00318423995675722,0.00106141331891907,0.00212282663783815,0,0.00849130655135258
2001,20,"20-24","white",15374182,18257225,0.0664784724371095,4.17583192393586,7.06379045077,2.88795852683414,0.0065044110964733,1.0472101865322,1.41796161903118,0.715485220612062,0.234158799473039,1.20982046394403,0,2.7513658938082,0.0271613275030558,0.0459457969911505,0.0187844694880947,4.23073637119249e-05,0.00681148555761992,0.00922300528919964,0.00465381000831174,0.0015230650936293,0.00786916965041804,0,0.0178960148501442
2001,20,"20-24","black",2856938,18257225,0.0664784724371095,1.05007529039832,2.80020077439552,1.7501254839972,0,0.245017567759608,0.245017567759608,0.210015058079664,0.105007529039832,0.35002509679944,0,0.665047683918937,0.0367552705168373,0.0980140547115661,0.0612587841947288,0,0.00857622978726204,0.00857622978726204,0.00735105410336746,0.00367552705168373,0.0122517568389458,0,0.023278337993997
2001,25,"25-29","white",14668883,17722067,0.0645298473666238,4.57430875956949,8.54870817362167,3.97439941405218,0,1.14528147780577,1.5338591220613,0.674898013706974,0.34085758268029,1.39751608898919,0,3.12907260900506,0.0311837565244026,0.0582778400619984,0.0270940835375957,0,0.00780755752026773,0.0104565502503586,0.00460088211015777,0.00232367783341301,0.00952707911699336,0,0.0213313625107315
2001,25,"25-29","black",2568982,17722067,0.0645298473666238,2.06307401141775,5.06037021668505,2.9972962052673,0,0.467111096924774,0.311407397949849,0.311407397949849,0.116777774231194,0.934222193849548,0,1.36240736603059,0.080307063709195,0.196979590230101,0.116672526520906,0,0.0181827314058555,0.012121820937237,0.012121820937237,0.00454568285146387,0.0363654628117109,0,0.0530329666004118
2001,30,"30-34","white",16383762,19511370,0.0710450833987775,5.47493304651276,10.5165101885635,5.04157714205077,0,1.0315091247053,1.84939209932371,0.854504600347588,0.506599155920356,1.75783803500075,0,3.9429283701753,0.0334168248202871,0.0641886166837844,0.0307717918634973,0,0.00629592351686568,0.0112879575479899,0.00521555794296565,0.00309208078047249,0.0107291477683865,0,0.0240660745082558
2001,30,"30-34","black",2715103,19511370,0.0710450833987775,3.94091863181618,8.43430249239163,4.49338386057546,0,0.994437411766699,0.626127259260514,0.47880319825804,0.184155076253092,2.02570583878402,0,2.83598817429762,0.145148034229868,0.310643923725606,0.165495889495738,0,0.0366261394785649,0.023060902634652,0.0176348078970868,0.00678261842195646,0.074608802641521,0,0.104452323698129
2001,35,"35-39","white",17864262,22179956,0.0807619774419333,7.62975822902732,15.1363655548715,7.50660732584419,0.00559776832650574,1.48340860652402,2.77649308994684,1.24270456848427,0.867654090608389,2.21671625729627,0,5.51380180160815,0.0427096189533456,0.0847298676814721,0.0420202487281265,3.13350102372308e-05,0.00830377771286617,0.0155421650776665,0.00695637227266524,0.00485692658677078,0.0124086640539434,0,0.0308649850836724
2001,35,"35-39","black",2891102,22179956,0.0807619774419333,6.26058852299227,14.388976936822,8.12838841382974,0,0.760955511081933,1.00307771915346,0.518833303010409,0.242122208071524,3.94313310287911,0,5.11915525636937,0.216546788144876,0.497698695404798,0.281151907259922,0,0.0263206040839076,0.0346953417469691,0.0179458664208461,0.0083747376630615,0.13638858479843,0,0.177065882019015
