"year","race","opioid_type","std_rate","sd"
1995,"black","methadone",0.0227625001425429,0.00945837361810256
1996,"black","methadone",0.0198023366431696,0.00907571613696351
1997,"black","methadone",0.0209151193981956,0.00858206826393005
1998,"black","methadone",0.00477159096403965,0.00337402432772089
1999,"black","methadone",0.213034418528741,0.0254603857596502
2000,"black","methadone",0.204579306474563,0.0245922136802652
2001,"black","methadone",0.30720146084136,0.0299627417790542
2002,"black","methadone",0.411065694358989,0.0343630513353465
2003,"black","methadone",0.421682861901743,0.0344853313948966
2004,"black","methadone",0.600302160400672,0.0405271962064541
2005,"black","methadone",0.72076587416385,0.0443206541394803
2006,"black","methadone",0.859974164231621,0.0480615986748532
2007,"black","methadone",0.822832863102595,0.0463287226314393
2008,"black","methadone",0.645825048266399,0.0408652619243264
2009,"black","methadone",0.678139019485826,0.0413038436504667
2010,"black","methadone",0.61847252827603,0.0390694052408371
2011,"black","methadone",0.689495589341026,0.041268170078244
2012,"black","methadone",0.584116007198594,0.037646476147808
2013,"black","methadone",0.577191897780425,0.0373420200701779
2014,"black","methadone",0.608571672684468,0.0380877917640849
2015,"black","methadone",0.579115712423268,0.0369131548124653
2016,"black","methadone",0.676577942627897,0.0393743074149401
2017,"black","methadone",0.0001,0.001
1979,"total","methadone",0.0506743699669656,0.00513327308568867
1980,"total","methadone",0.044170182645366,0.00468541052262103
1981,"total","methadone",0.0464225629743758,0.00482877331603057
1982,"total","methadone",0.0456400955287887,0.00483403065006577
1983,"total","methadone",0.052976294112526,0.00509465791758959
1984,"total","methadone",0.0382442460242582,0.00426000090963575
1985,"total","methadone",0.0353625108437553,0.00408442528275602
1986,"total","methadone",0.0435534843948424,0.00456390738174473
1987,"total","methadone",0.0468632686573349,0.00470663737065409
1988,"total","methadone",0.0447854071501134,0.00455027496607804
1989,"total","methadone",0.0370189397265326,0.00405239450348139
1990,"total","methadone",0.0266447290442338,0.00341615940831775
1991,"total","methadone",0.0338355031405997,0.00375265979563332
1992,"total","methadone",0.0291566569329492,0.00351546991506773
1993,"total","methadone",0.0238345905726395,0.00310045400427845
1994,"total","methadone",0.0195166249587792,0.00282848103354456
1995,"total","methadone",0.0194860109808436,0.0027959023655618
1996,"total","methadone",0.0219133683790662,0.00293839953009184
1997,"total","methadone",0.0128068689162497,0.00220019425538465
1998,"total","methadone",0.0163641241137505,0.00246841650499276
1999,"total","methadone",0.287040445666321,0.0102535645325357
2000,"total","methadone",0.349601488085799,0.0111362871107872
2001,"total","methadone",0.509069465972291,0.0133551955427668
2002,"total","methadone",0.818293885836302,0.0168684929340136
2003,"total","methadone",1.02318017074411,0.0188013628890724
2004,"total","methadone",1.31160826846351,0.0212090686787851
2005,"total","methadone",1.50454044114712,0.0226093962757452
2006,"total","methadone",1.80627607985658,0.0246882494645363
2007,"total","methadone",1.82391296832359,0.0247049513832941
2008,"total","methadone",1.6136350267768,0.0231747349392086
2009,"total","methadone",1.52576790282166,0.0224906846733278
2010,"total","methadone",1.4744989264336,0.0220515361541205
2011,"total","methadone",1.42149663106204,0.0216879014523662
2012,"total","methadone",1.25385309569327,0.0203207404352696
2013,"total","methadone",1.13538759389501,0.0192956587770693
2014,"total","methadone",1.0647617473602,0.018627682951737
2015,"total","methadone",1.02188945696315,0.0181851614630439
2016,"total","methadone",1.03866252124404,0.0183235400578547
2017,"total","methadone",0.0001,0.001
1979,"white","methadone",0.052593368738184,0.00553341410415801
1980,"white","methadone",0.0420363586861422,0.00483363893956447
1981,"white","methadone",0.047637199229814,0.00522351733215011
1982,"white","methadone",0.0421141777219431,0.00493429475481398
1983,"white","methadone",0.0525245500217696,0.00538920377379917
1984,"white","methadone",0.0388736896570968,0.00456960557015153
1985,"white","methadone",0.0390376207245129,0.0045616297639329
1986,"white","methadone",0.0408584923761794,0.0047052436096132
1987,"white","methadone",0.0450796596908487,0.00493178812477675
1988,"white","methadone",0.0443196200686194,0.00482707761634991
1989,"white","methadone",0.0384619035446529,0.00438594784141092
1990,"white","methadone",0.0246198287323573,0.00351123535343034
1991,"white","methadone",0.0335563007646711,0.00399245940951652
1992,"white","methadone",0.028595347731514,0.00374929529056583
1993,"white","methadone",0.0272492259876736,0.00357171258566197
1994,"white","methadone",0.0202312065400949,0.00309898581165148
1995,"white","methadone",0.0197763500907461,0.00303037681888541
1996,"white","methadone",0.0221961357871521,0.0031822715886922
1997,"white","methadone",0.0118501272013333,0.00228441306855019
1998,"white","methadone",0.0179015084404395,0.00279808777842098
1999,"white","methadone",0.313012533158373,0.0117901136152218
2000,"white","methadone",0.394493275870657,0.0131237860657558
2001,"white","methadone",0.575922320448435,0.0158017614306455
2002,"white","methadone",0.940878176357448,0.0201822354535672
2003,"white","methadone",1.1966074766,0.0227510225747473
2004,"white","methadone",1.52631828421754,0.0256613556355968
2005,"white","methadone",1.75047201046675,0.0274121644503662
2006,"white","methadone",2.11500900714528,0.0301169582972794
2007,"white","methadone",2.15226082618293,0.0303271332339309
2008,"white","methadone",1.91267347113455,0.0285567488000684
2009,"white","methadone",1.79829477429529,0.0277057379878153
2010,"white","methadone",1.75352800746784,0.0273544639952039
2011,"white","methadone",1.67651725800254,0.0268354878114701
2012,"white","methadone",1.48058629418791,0.0251894497211825
2013,"white","methadone",1.34022926086666,0.0239567517669776
2014,"white","methadone",1.25684406349506,0.0231784571081143
2015,"white","methadone",1.20579149815265,0.0226544055249076
2016,"white","methadone",1.2143363138575,0.0228036554283543
2017,"white","methadone",0.0001,0.001
1979,"black","nonh_nonm",0.257790001384971,0.0343243868943291
1980,"black","nonh_nonm",0.339786006191122,0.0390255933994772
1981,"black","nonh_nonm",0.271731410125976,0.0340430245730236
1982,"black","nonh_nonm",0.450205656242784,0.0451992618349856
1983,"black","nonh_nonm",0.333798638976475,0.0376849599519241
1984,"black","nonh_nonm",0.337085038227537,0.0380832996947615
1985,"black","nonh_nonm",0.467301303570173,0.0441203259642449
1986,"black","nonh_nonm",0.477188227672323,0.0444917089737596
1987,"black","nonh_nonm",0.5859084944442,0.0485329693625463
1988,"black","nonh_nonm",0.922089194941755,0.0600134873077103
1989,"black","nonh_nonm",1.06852423635982,0.0633909685428877
1990,"black","nonh_nonm",0.752488013442981,0.0525106708783288
1991,"black","nonh_nonm",1.09521820658054,0.0640538103124045
1992,"black","nonh_nonm",1.35183116622911,0.0706551840384545
1993,"black","nonh_nonm",1.79658793915817,0.0799126631664971
1994,"black","nonh_nonm",1.95570514187257,0.0830905151305898
1995,"black","nonh_nonm",1.83364078996404,0.0796406986384296
1996,"black","nonh_nonm",1.59097495896492,0.0725428178166908
1997,"black","nonh_nonm",1.55392646315275,0.0707004291654385
1998,"black","nonh_nonm",1.63188091487278,0.072167013974728
1999,"black","nonh_nonm",2.74199900296905,0.0919596995715391
2000,"black","nonh_nonm",2.60929908139512,0.0883840239704661
2001,"black","nonh_nonm",2.52000489621313,0.0860991169747715
2002,"black","nonh_nonm",2.57527143264789,0.086311949134019
2003,"black","nonh_nonm",2.47011401797164,0.083825258988554
