"year","race","opioid_type","std_rate","sd"
1988,"total","opioid",0.88027650574562,0.0191842656126387
1989,"total","opioid",0.997880820730787,0.0203411263232254
1990,"total","opioid",0.906549082629331,0.0191450148635683
1991,"total","opioid",0.99571600128271,0.0199876938993951
1992,"total","opioid",1.34520805802145,0.0231013648464068
1993,"total","opioid",1.76251508122366,0.0262569593589334
1994,"total","opioid",1.79642149792886,0.0263827237206532
1995,"total","opioid",1.96053064617304,0.0273608066277678
1996,"total","opioid",1.96612815152062,0.0272370890491701
1997,"total","opioid",2.18639545692514,0.0285525460425168
1998,"total","opioid",2.49596597594203,0.030379113994015
1999,"total","opioid",2.94390595559302,0.0328307006894099
2000,"total","opioid",2.97492072535282,0.0324730525136937
2001,"total","opioid",3.32305744397674,0.0341276590171944
2002,"total","opioid",4.13968589812363,0.0379591667555257
2003,"total","opioid",4.45561965697897,0.0392369668975669
2004,"total","opioid",4.68551418417904,0.0400597404742548
2005,"total","opioid",5.02329868239042,0.0412881520468795
2006,"total","opioid",5.84073486523817,0.0443393397760605
2007,"total","opioid",6.11371828842139,0.0452351748268741
2008,"total","opioid",6.40671037533831,0.0461715685634973
2009,"total","opioid",6.61932221441144,0.0468128783997358
2010,"total","opioid",6.79291288851582,0.0473565738387343
2011,"total","opioid",7.30008626540464,0.0490458533936986
2012,"total","opioid",7.37244204068277,0.0491949698792316
2013,"total","opioid",7.89032958885661,0.0507196570022717
2014,"total","opioid",8.99897994414816,0.054163579961271
2015,"total","opioid",10.3774159275071,0.0581648712132056
2016,"total","opioid",13.2185948000348,0.0656057478796277
2017,"total","opioid",0,0
1979,"white","opioid",0.440079827290817,0.0153207539646008
1980,"white","opioid",0.397435328644055,0.0145384805752193
1981,"white","opioid",0.43467821949982,0.0151115451213935
1982,"white","opioid",0.525961807280495,0.016378251200584
1983,"white","opioid",0.523303487583238,0.0162436930351761
1984,"white","opioid",0.565020978360238,0.0167809733905885
1985,"white","opioid",0.712886883070526,0.0187746137983137
1986,"white","opioid",0.794460265982717,0.0197483320111186
1987,"white","opioid",0.647246857120724,0.0178012789762165
1988,"white","opioid",0.798316131444073,0.0197020147585475
1989,"white","opioid",0.911774487462811,0.0210320836709029
1990,"white","opioid",0.848722124337243,0.0200591461822826
1991,"white","opioid",0.934883054752985,0.0209700388606228
1992,"white","opioid",1.28901056411549,0.0245512030554698
1993,"white","opioid",1.69095024349744,0.0280021073943918
1994,"white","opioid",1.71162937179039,0.0280538123029729
1995,"white","opioid",1.8801561782013,0.0292388007903014
1996,"white","opioid",1.9522725428496,0.0296922408553316
1997,"white","opioid",2.2004407494291,0.031415823263608
1998,"white","opioid",2.56444143281112,0.0338373491805231
1999,"white","opioid",3.00772429996165,0.0365368198376659
2000,"white","opioid",3.10459072641219,0.0367949146916735
2001,"white","opioid",3.55620756427601,0.0392496865800197
2002,"white","opioid",4.51861011030557,0.0441844836884495
2003,"white","opioid",4.94387703635262,0.0461550378239894
2004,"white","opioid",5.27808437552261,0.0476001646135998
2005,"white","opioid",5.66335846268792,0.0491903207902842
2006,"white","opioid",6.5989435570665,0.0530223729760152
2007,"white","opioid",7.05550977031512,0.0547948001514302
2008,"white","opioid",7.44833526783619,0.0562683196396794
2009,"white","opioid",7.68635246893831,0.0571196309941602
2010,"white","opioid",7.99603854536823,0.0583518815530642
2011,"white","opioid",8.58906517708558,0.0605407447119743
2012,"white","opioid",8.64554809403203,0.0607475244533904
2013,"white","opioid",9.24648399407969,0.0627500496332518
2014,"white","opioid",10.5310032616205,0.0670846645795774
2015,"white","opioid",12.1917037105649,0.0723651821183591
2016,"white","opioid",15.2783255587179,0.0812374701621125
2017,"white","opioid",0,0
